tag,knob,T,temp,eps,n,prog_mean,prog_max,prog_min,finishes,past_wall,len_med_s,len_mean_s,spread_25,spread_50,spread_75,spread_60s,spread_max,alive_60s,branches_end,branches_30s,branches_60s,cells,novel_cells,rare_cells,same_line,same_line_timed,same_line_60s
greedy,greedy,0.0,1.0,0.0,64,205251.71983337402,205251.71983337402,205251.71983337402,0,0.0,68.54,68.54,0.0,0.0,0.0,0.0,0.0,64,1,1,1,1112,0,0,1.0,1.0,1.0
sigma_T0,sigma,0.0,1.0,0.0,64,177319.79660893604,205440.0,3072.0,0,0.0,71.42,62.39890625,388.7306823730469,803.3046264648438,1254.1719970703125,1309.0311279296875,1707.2449951171875,52,10,1,1,3247,0,0,0.015625,0.0,0.015625
sigma_T0.25,sigma,0.25,1.25,0.0,64,147053.98860680312,205453.8591518402,3563.203956604004,0,0.015625,72.72,53.95265625,481.7641906738281,1022.078857421875,2237.624755859375,2617.800048828125,3025.85693359375,41,18,2,7,3483,0,0,0.046875,0.0,0.046875
sigma_T0.5,sigma,0.5,1.5,0.0,64,61638.45803169813,203666.4232082367,2408.08837890625,0,0.0,13.03,25.87578125,241.01231384277344,847.2741088867188,323.3793029785156,2354.52099609375,2525.62109375,9,32,4,7,3049,0,11,0.03125,0.0,0.03125
sigma_T1,sigma,1.0,2.0,0.0,64,11646.351347590331,49152.0,2304.0,0,0.0,6.34,7.80390625,157.99102783203125,360.96026611328125,595.71826171875,nan,1229.59033203125,0,13,0,0,620,0,0,0.015625,0.0,0.015625
sigma_T2,sigma,2.0,3.0,0.0,64,4216.2395483106375,15001.290899276733,2176.0,0,0.0,4.74,5.40140625,38.085540771484375,204.29281616210938,1087.8505859375,nan,4745.4697265625,0,7,0,0,169,0,0,0.0,0.0,0.0
sigma_T4,sigma,4.0,5.0,0.0,64,2435.7230559960008,3994.8243656158447,2062.4195261001587,0,0.0,6.14,6.3328125,64.75159454345703,327.81060791015625,704.5211791992188,nan,838.272216796875,0,2,0,0,90,0,0,0.0,0.0,0.0
eps_T0,eps,0.0,1.0,0.0,64,177319.79660893604,205440.0,3072.0,0,0.0,71.42,62.39890625,388.7306823730469,803.3046264648438,1254.1719970703125,1309.0311279296875,1707.2449951171875,52,10,1,1,3247,0,0,0.015625,0.0,0.015625
eps_T0.25,eps,0.25,1.0,0.0125,64,19704.369214102626,102043.5742855072,3116.047161102295,0,0.0,9.21,11.2309375,171.98452758789062,1168.6715087890625,1985.6068115234375,nan,4219.0185546875,0,20,3,0,1332,0,3,0.015625,0.0,0.015625
eps_T0.5,eps,0.5,1.0,0.025,64,9131.606285362504,50164.76845550537,2344.2783164978027,0,0.0,6.37,7.2525,195.18783569335938,481.62481689453125,1213.798828125,nan,3267.945556640625,0,15,0,0,583,0,31,0.03125,0.0,0.03125
eps_T1,eps,1.0,1.0,0.05,64,5530.130681622773,15446.325744628906,2304.0,0,0.0,6.48,6.4340625,197.44479370117188,563.1082153320312,1592.1231689453125,nan,4281.091796875,0,7,0,0,188,0,3,0.0,0.0,0.0
eps_T2,eps,2.0,1.0,0.1,64,3469.5658834315836,7400.92423248291,2137.099838256836,0,0.0,6.39,6.47640625,196.2148895263672,579.3508911132812,1337.6417236328125,nan,1831.680908203125,0,4,0,0,128,0,1,0.015625,0.0,0.015625
eps_T4,eps,4.0,1.0,0.2,64,2530.110790848732,3758.226577758789,2048.0,0,0.0,7.68,7.9875,109.5928955078125,831.9846801757812,650.6338500976562,nan,831.9846801757812,0,1,0,0,84,0,0,0.0,0.0,0.0
