tag,knob,T,temp,eps,n,prog_mean,prog_max,prog_min,finishes,past_wall,len_med_s,len_mean_s,spread_25,spread_50,spread_75,spread_60s,spread_max,alive_60s,branches_end,branches_30s,branches_60s,cells,novel_cells,rare_cells,same_line,same_line_timed,same_line_60s
greedy,greedy,0.0,1.0,0.0,64,205251.71983337402,205251.71983337402,205251.71983337402,0,0.0,68.54,68.54,0.0,0.0,0.0,0.0,0.0,64,1,1,1,1112,0,0,1.0,1.0,1.0
yaw_T0.25,yaw,0.25,1.25,0.0,64,168559.2086342905,205440.12362167984,3768.211769104004,0,0.015625,72.6,60.94015625,649.5105590820312,1060.7291259765625,1751.2406005859375,1872.3739013671875,2324.39990234375,48,17,2,5,3458,0,1,0.03125,0.0,0.03125
yaw_T0.5,yaw,0.5,1.5,0.0,64,105362.08390456066,205384.18367004395,3792.448066711426,0,0.0,39.42,40.5390625,218.21844482421875,662.5071411132812,1201.601318359375,3101.9833984375,3659.053955078125,25,31,2,12,3469,0,3,0.078125,0.0,0.078125
yaw_T1,yaw,1.0,2.0,0.0,64,24851.706580539234,67574.67816925049,3384.986618041992,0,0.0,11.63,13.2790625,123.75447845458984,701.2039794921875,614.5493774414062,nan,3043.66455078125,0,20,0,0,1013,0,0,0.03125,0.0,0.03125
yaw_T2,yaw,2.0,3.0,0.0,64,10506.833405080251,23089.57925415039,3358.5035400390625,0,0.0,6.43,7.60328125,73.22484588623047,95.34561920166016,621.9007568359375,nan,1821.8609619140625,0,12,0,0,365,0,13,0.0625,0.0,0.0625
yaw_T4,yaw,4.0,5.0,0.0,64,5155.319242469966,8042.514099121094,2304.0,0,0.0,4.98,5.22046875,15.643168449401855,120.20951843261719,503.2613830566406,nan,1013.645263671875,0,4,0,0,155,0,4,0.03125,0.0,0.03125
pitch_T0.25,pitch,0.25,1.25,0.0,64,173731.82413860597,205426.8826599121,3072.0,0,0.0,71.4,61.32703125,500.2347717285156,981.1138305664062,1718.042724609375,1867.0948486328125,2435.53369140625,52,11,4,5,3214,0,6,0.03125,0.0,0.03125
pitch_T0.5,pitch,0.5,1.5,0.0,64,170912.24883706495,205387.9513244629,3072.0,0,0.0,71.29,60.32390625,484.013671875,956.4164428710938,1660.7147216796875,1444.3082275390625,1829.90966796875,51,11,3,4,3192,0,1,0.03125,0.0,0.03125
pitch_T1,pitch,1.0,2.0,0.0,64,177108.46455689613,205480.91387939453,3072.0,0,0.015625,71.45,62.31125,411.8554382324219,843.89404296875,1310.0823974609375,1378.99609375,1807.1683349609375,54,11,2,3,3257,0,1,0.03125,0.0,0.03125
pitch_T2,pitch,2.0,3.0,0.0,64,174563.9726178907,205363.41312026978,3072.0,0,0.0,71.36,61.6275,392.890625,852.3936157226562,1884.6258544921875,1489.6285400390625,1934.176513671875,49,15,2,5,3242,0,8,0.046875,0.0,0.046875
pitch_T4,pitch,4.0,5.0,0.0,64,168161.46380792558,205586.47059440613,4082.089973449707,0,0.03125,71.46,59.60625,417.1112060546875,864.15673828125,1412.2374267578125,1614.652099609375,2182.8046875,50,9,3,5,3237,0,0,0.03125,0.0,0.03125
keys_T0.25,keys,0.25,1.25,0.0,64,174027.49956592172,205607.35287094116,4127.303165435791,0,0.03125,71.8,61.78734375,397.118896484375,898.2913208007812,1451.619140625,1534.2464599609375,1934.0841064453125,53,10,2,3,3380,0,1,0.015625,0.0,0.015625
keys_T0.5,keys,0.5,1.5,0.0,64,165440.12281015143,205692.27669525146,3788.1431732177734,0,0.046875,72.31,59.5571875,489.72723388671875,964.7123413085938,1667.8447265625,1908.7255859375,2694.85205078125,48,19,2,4,3618,2,41,0.015625,0.0,0.015625
keys_T1,keys,1.0,2.0,0.0,64,52991.325718291104,204394.53288269043,2560.0,0,0.0,7.21,21.91359375,176.22628784179688,690.1104736328125,1200.5152587890625,2452.084228515625,3138.82666015625,10,23,3,6,3238,1,8,0.015625,0.0,0.015625
keys_T2,keys,2.0,3.0,0.0,64,5371.307686969638,18098.644203186035,2304.0,0,0.0,4.69,5.95203125,36.47975540161133,197.10862731933594,1033.0594482421875,nan,5002.62548828125,0,8,0,0,245,0,0,0.0,0.0,0.0
keys_T4,keys,4.0,5.0,0.0,64,2858.0430674105883,7787.945579528809,2115.538604736328,0,0.0,6.42,6.781875,57.72866439819336,310.82806396484375,778.3079223632812,nan,1665.9630126953125,0,4,0,0,98,0,0,0.0,0.0,0.0
