run,group,hfov,eps,ticks,fast_ticks,fast_pct,med_offset,off_p10,off_p90,back_pct,side_pct,fwd_pct,infov_pct,infov120_pct,on_route_pct,side_only_pct,fwd_only_pct,pitch_med,pitch_below_-45_pct,pitch_above_+15_pct,pitch_at_+30_clamp_pct,corridor_best,corridor_src,finishes,treatment
xW1BON10,shallow+treat,120,18,28921,24295,84.0,0.9,0.6,44.8,0.0,0.1,99.9,99.9,99.9,100.0,71.5,0.9,30.0,0.0,70.9,56.8,106094,corridor.csv,0,success_bonus 50->10
xW1COMP,shallow+treat,120,18,32460,29017,89.4,41.1,0.8,135.7,19.3,7.6,73.0,73.0,73.0,100.0,39.0,8.5,-50.9,54.8,1.5,0.0,48842,corridor.csv,0,obs_compass 0->1
xW1CTL,shallow ctl,120,18,56512,50997,90.2,26.4,0.6,89.4,0.0,33.7,66.3,66.3,66.3,100.0,54.7,32.6,28.1,0.0,67.2,45.8,106271,corridor.csv,0,control (identical to ref)
xW1CTL4,shallow ctl,120,18,54667,52311,95.7,61.1,44.0,91.0,0.4,49.9,49.7,49.7,49.7,100.0,2.3,52.0,30.0,0.0,78.0,53.0,100781,corridor.csv,0,control (identical to ref)
xW1CTL5,shallow ctl,120,18,48393,45087,93.2,90.6,89.2,93.0,3.0,97.0,0.0,0.0,0.0,100.0,1.9,93.5,23.6,0.1,60.6,42.2,84973,corridor.csv,0,control (identical to ref)
xW1DEEP,deep,120,18,47013,45432,96.6,0.8,0.2,4.8,0.0,0.2,99.8,99.8,99.8,100.0,87.7,0.9,21.5,0.0,63.1,31.1,191285,corridor.csv,0,tower_depth 2->4; conv_mult 1->2
xW1FOV,shallow+treat,160,18,65161,60460,92.8,72.2,45.2,89.4,0.0,54.1,45.8,53.2,45.8,100.0,5.3,44.7,16.7,0.0,51.8,33.3,117744,corridor.csv,0,lidar_hfov 120->160; lidar_vfov 90->120
xW1FP32,shallow+treat,120,18,51547,47945,93.0,89.2,45.6,90.8,3.0,66.0,31.0,31.0,31.0,100.0,4.2,59.5,30.0,0.0,88.0,68.3,92437,corridor.csv,0,fp32_heads 0->1
xW1GRU,shallow+treat,120,18,44331,39697,89.5,177.7,135.5,179.8,95.5,4.1,0.4,0.4,0.4,100.0,54.7,4.4,30.0,0.3,84.8,72.3,104101,corridor.csv,0,rnn none->gru; rnn_size -->256
xW1RETN,shallow+treat,120,18,52305,51250,98.0,1.0,0.2,34.8,0.0,6.2,93.8,93.8,93.8,100.0,71.4,11.6,28.3,0.0,82.3,37.4,106163,corridor.csv,0,ret_norm 0->1
xW1WIDE,shallow+treat,120,18,42579,40303,94.7,179.2,117.3,179.7,89.5,10.5,0.1,0.1,0.1,99.9,70.2,9.8,30.0,0.0,84.9,69.6,106361,corridor.csv,0,emb 512->1024; hidden 448->896
xW2BON10,deep+treat,120,18,40339,37538,93.1,90.3,88.7,93.2,4.7,94.6,0.8,0.8,0.8,100.0,1.4,87.6,30.0,0.0,86.9,55.5,170612,corridor.csv,0,tower_depth 2->4; conv_mult 1->2; success_bonus 50->10
xW2DEEP3,deep,120,18,53713,49889,92.9,179.2,173.2,179.8,96.4,3.6,0.0,0.0,0.0,100.0,85.9,2.6,30.0,0.5,88.5,63.1,117830,corridor.csv,0,tower_depth 2->4; conv_mult 1->2
xW2DEEP4,deep,120,18,45267,43916,97.0,179.0,134.2,179.8,99.9,0.1,0.0,0.0,0.0,100.0,71.2,3.9,30.0,0.0,86.4,56.8,157515,corridor.csv,0,tower_depth 2->4; conv_mult 1->2
xW2DEEP5,deep,120,18,85040,83743,98.5,0.7,0.2,3.3,0.0,1.7,98.3,98.3,98.3,100.0,80.7,5.7,28.4,0.0,75.8,45.0,203753,corridor.csv,0,tower_depth 2->4; conv_mult 1->2
